id,Growth,Loss,Stable,Growth_cwci,Loss_cwci,Stable_cwci,Growth_discount,Loss_discount,Stable_discount
91550861,0.005,0.005,0.99,0.057,0.057,0.887,0.083,0.188,0.728
91550861,0.005,0.005,0.99,0.057,0.057,0.887,0.11,0.78,0.11
91550861,0.005,0.005,0.99,0.332,0.335,0.332,0.083,0.188,0.728
91550861,0.005,0.005,0.99,0.332,0.335,0.332,0.11,0.78,0.11
91550861,0.005,0.99,0.005,0.057,0.057,0.887,0.083,0.188,0.728
91550861,0.005,0.99,0.005,0.057,0.057,0.887,0.11,0.78,0.11
91550861,0.005,0.99,0.005,0.332,0.335,0.332,0.083,0.188,0.728
91550861,0.005,0.99,0.005,0.332,0.335,0.332,0.11,0.78,0.11
90568492,0.005,0.005,0.99,0.049,0.049,0.902,0.057,0.115,0.829
90568492,0.005,0.005,0.99,0.049,0.049,0.902,0.0,0.0,1.0
90568492,0.005,0.005,0.99,0.154,0.154,0.692,0.057,0.115,0.829
90568492,0.005,0.005,0.99,0.154,0.154,0.692,0.0,0.0,1.0
90568492,0.005,0.005,0.99,0.049,0.049,0.902,0.057,0.115,0.829
90568492,0.005,0.005,0.99,0.049,0.049,0.902,0.0,0.0,1.0
90568492,0.005,0.005,0.99,0.154,0.154,0.692,0.057,0.115,0.829
90568492,0.005,0.005,0.99,0.154,0.154,0.692,0.0,0.0,1.0
83604768,0.005,0.99,0.005,0.044,0.912,0.044,0.047,0.796,0.157
83604768,0.005,0.99,0.005,0.044,0.912,0.044,0.0,1.0,0.0
83604768,0.005,0.99,0.005,0.083,0.833,0.083,0.047,0.796,0.157
83604768,0.005,0.99,0.005,0.083,0.833,0.083,0.0,1.0,0.0
83604768,0.005,0.99,0.005,0.044,0.912,0.044,0.047,0.796,0.157
83604768,0.005,0.99,0.005,0.044,0.912,0.044,0.0,1.0,0.0
83604768,0.005,0.99,0.005,0.083,0.833,0.083,0.047,0.796,0.157
83604768,0.005,0.99,0.005,0.083,0.833,0.083,0.0,1.0,0.0
