Growth,Loss,Stable,id
0.167,0.627,0.207,3256595
0.333,0.333,0.333,29085874
0.333,0.333,0.333,13822452
0.083,0.083,0.833,50282063
0.167,0.217,0.617,43297700
0.167,0.617,0.217,66406152
0.333,0.333,0.333,84235564
0.333,0.333,0.333,60468536
0.0,0.0,1.0,5112781
0.167,0.627,0.207,17728085
0.333,0.333,0.333,89593141
0.167,0.197,0.637,40332342
0.167,0.217,0.617,98678088
0.167,0.542,0.292,28247858
0.167,0.417,0.417,58835211
0.0,0.6,0.4,46317002
0.0,0.0,1.0,34403085
0.0,0.0,1.0,90460188
0.25,0.438,0.312,61109051
0.0,0.0,1.0,91153471
0.0,1.0,0.0,74338859
0.277,0.3,0.423,55724819
0.0,0.2,0.8,50282063
0.287,0.287,0.427,24714350
0.047,0.262,0.692,7016708
0.0,0.0,1.0,20196685
0.0,0.0,1.0,80122503
0.252,0.167,0.582,3490301
0.0,0.0,1.0,5112781
0.223,0.256,0.52,54655085
0.217,0.167,0.617,22544211
0.0,0.0,1.0,26657421
0.0,0.0,1.0,69004695
0.0,0.8,0.2,2721769
0.167,0.192,0.642,6355755
0.0,0.04,0.96,30150009
0.333,0.333,0.333,62130675
0.0,0.1,0.9,38996901
0.167,0.192,0.642,90460188
0.0,0.9,0.1,76927573
0.333,0.333,0.333,82965593
0.167,0.192,0.642,43297700
0.167,0.217,0.617,24714350
0.167,0.617,0.217,53288334
0.0,0.03,0.97,45674038
0.333,0.333,0.333,49570556
0.333,0.333,0.333,12449375
0.333,0.333,0.333,17728085
0.167,0.192,0.642,21872023
0.167,0.597,0.237,47528859
0.333,0.333,0.333,82780755
0.333,0.333,0.333,69116166
0.333,0.333,0.333,53355015
0.167,0.267,0.567,40450920
1.0,0.0,0.0,96506508
0.167,0.292,0.542,94143892
0.11,0.78,0.11,63049873
0.0,0.4,0.6,61109051
0.11,0.78,0.11,76927573
0.167,0.542,0.292,45931926
0.0,0.0,1.0,37193289
0.0,0.9,0.1,67676478
0.0,0.9,0.1,66406152
0.0,0.2,0.8,7016708
0.167,0.642,0.192,53288334
0.0,0.9,0.1,51013065
0.0,0.33,0.67,91186758
0.167,0.567,0.267,89593141
0.167,0.367,0.467,54655085
0.0,0.8,0.2,47528859
0.0,0.2,0.8,97765910
0.167,0.667,0.167,69839659
0.167,0.467,0.367,76388857
0.0,0.1,0.9,14499395
0.167,0.237,0.597,82780755
0.083,0.233,0.683,76388857
0.0,0.0,1.0,19195268
0.033,0.159,0.807,15163164
0.0,1.0,0.0,81954860
0.1,0.0,0.9,87926607
0.0,0.0,1.0,53042020
0.0,0.0,1.0,65207529
0.0,0.05,0.95,6964057
0.333,0.333,0.333,24949421
0.083,0.833,0.083,80059405
0.0,1.0,0.0,38421454
0.167,0.417,0.417,23809944
0.333,0.333,0.333,66630031
0.0,0.0,1.0,27421784
0.0,0.0,1.0,17166595
0.0,0.0,1.0,63854073
0.167,0.542,0.292,57111063
0.333,0.333,0.333,52364911
0.0,1.0,0.0,82965593
0.0,0.0,1.0,69116166
0.167,0.502,0.332,97765910
0.0,0.09,0.91,19195268
0.0,0.11,0.89,10265774
0.083,0.196,0.721,19398624
0.083,0.211,0.706,67005884
0.0,0.1,0.9,38365618
0.267,0.311,0.423,80907998
0.0,0.1,0.9,65207529
0.0,0.17,0.83,77328804
0.0,0.11,0.89,41791898
0.25,0.285,0.465,12964225
0.0,0.17,0.83,30150009
0.167,0.282,0.552,58835211
0.167,0.247,0.587,77239856
0.167,0.642,0.192,99208105
0.167,0.632,0.202,81954860
0.25,0.27,0.48,19398624
0.333,0.333,0.333,67093531
0.0,0.0,1.0,44974372
0.333,0.333,0.333,20458311
0.167,0.207,0.627,24949421
0.25,0.312,0.438,16422190
0.333,0.333,0.333,79579815
0.333,0.333,0.333,82153961
0.223,0.26,0.517,43497672
0.25,0.3,0.45,17166595
0.0,0.0,1.0,41791898
0.266,0.468,0.266,30988778
0.133,0.223,0.643,18312021
0.167,0.332,0.502,47824176
0.11,0.177,0.713,98688299
0.223,0.504,0.273,94123684
0.167,0.197,0.637,52254958
0.0,0.0,1.0,2028059
0.167,0.257,0.577,65723809
0.333,0.333,0.333,87926607
0.0,0.1,0.9,67005884
0.333,0.333,0.333,30725024
0.0,0.0,1.0,88296007
0.417,0.167,0.417,75005688
0.167,0.542,0.292,88716286
0.0,0.0,1.0,80061075
0.0,0.129,0.871,79579815
0.0,0.07,0.93,48519496
0.167,0.207,0.627,68360149
0.0,0.0,1.0,63854073
0.0,0.2,0.8,34562860
0.0,0.0,1.0,39124661
0.0,0.0,1.0,18312021
0.0,0.0,1.0,74724107
0.083,0.083,0.833,31920893
0.0,0.1,0.9,95915841
0.25,0.275,0.475,21872023
0.333,0.333,0.333,2028059
0.333,0.333,0.333,15723160
0.167,0.292,0.542,53042020
0.333,0.333,0.333,38365618
0.333,0.333,0.333,57429630
0.333,0.333,0.333,81963277
0.333,0.333,0.333,88296007
0.167,0.597,0.237,38421454
0.333,0.333,0.333,42683605
